DateChargement_jour,DateLivraison_jour,Poids
58.0,59.0,0.6883
58.0,59.0,1.0
58.0,59.0,0.99
58.0,59.0,0.2287
58.0,62.0,1.0602
58.0,59.0,5.1211
58.0,62.0,0.47843
58.0,62.0,0.23914
58.0,59.0,0.64495
58.0,59.0,0.19295
58.0,59.0,0.7718
58.0,59.0,0.24241
58.0,62.0,0.23212
58.0,59.0,2.68722
58.0,61.0,1.074
58.0,59.0,2.83711
59.0,60.0,0.556
59.0,60.0,2.2008
59.0,60.0,1.77476
59.0,60.0,1.019
59.0,60.0,0.57585
59.0,60.0,0.49308
59.0,63.0,0.765
59.0,60.0,7.74884
59.0,60.0,3.30435
59.0,60.0,1.28296
59.0,63.0,9.33416
59.0,62.0,0.56684
59.0,59.0,1.055
59.0,62.0,0.54793
59.0,60.0,0.08817
59.0,60.0,0.44622
59.0,62.0,0.288
59.0,63.0,1.29
59.0,60.0,0.766
59.0,60.0,0.242
59.0,60.0,2.07868
59.0,60.0,0.358
59.0,60.0,2.10209
59.0,60.0,0.79028
59.0,60.0,7.68
59.0,60.0,0.4247
59.0,60.0,2.9324
59.0,62.0,1.19304
59.0,60.0,2.07462
59.0,60.0,0.46509
60.0,63.0,2.431
60.0,61.0,0.24697
60.0,62.0,3.80154
60.0,62.0,2.4513
60.0,64.0,0.41773
60.0,61.0,2.79989
60.0,61.0,0.492
60.0,61.0,2.0546
60.0,61.0,5.23806
60.0,61.0,2.262
60.0,61.0,1.24
60.0,63.0,0.513
60.0,62.0,0.87
60.0,61.0,1.29808
60.0,61.0,2.22824
60.0,61.0,0.665
60.0,64.0,0.51509
60.0,64.0,5.46308
60.0,61.0,0.69728
60.0,63.0,1.071
60.0,61.0,1.90632
60.0,62.0,2.78925
60.0,63.0,4.092
61.0,62.0,0.77563
61.0,65.0,0.5764
61.0,62.0,0.17195
61.0,62.0,0.421
61.0,62.0,0.234
61.0,62.0,0.594
61.0,62.0,0.204
61.0,62.0,0.299
61.0,62.0,1.49537
61.0,62.0,0.49
61.0,62.0,0.6212
61.0,62.0,0.63123
61.0,62.0,4.11142
61.0,64.0,0.424
61.0,65.0,1.20453
61.0,64.0,0.64759
61.0,65.0,2.79305
61.0,62.0,3.02894
61.0,64.0,0.853
61.0,62.0,0.14459
61.0,62.0,0.37474
61.0,62.0,0.9732
61.0,64.0,0.23628
61.0,62.0,1.95057
61.0,63.0,0.92
61.0,62.0,0.62027
62.0,63.0,6.53128
62.0,63.0,2.53636
62.0,63.0,0.78267
62.0,63.0,2.06661
62.0,65.0,2.974
62.0,63.0,3.1702
62.0,65.0,0.574
62.0,63.0,0.52108
62.0,63.0,0.5162
62.0,63.0,3.12599
62.0,63.0,2.03576
62.0,63.0,0.314
62.0,66.0,0.57992
62.0,63.0,0.14205
62.0,63.0,0.275
62.0,63.0,1.30078
62.0,63.0,3.8098
62.0,63.0,1.4515
62.0,63.0,0.79616
62.0,65.0,0.9403
62.0,66.0,0.861
62.0,66.0,0.38514
62.0,63.0,1.33278
62.0,63.0,0.26858
62.0,64.0,1.1947
62.0,63.0,1.68944
63.0,65.0,0.1788
63.0,64.0,0.37747
63.0,64.0,0.3582
63.0,64.0,0.4898
63.0,64.0,3.09643
63.0,64.0,0.76939
63.0,64.0,0.5864
63.0,64.0,0.67488
63.0,66.0,2.21115
63.0,65.0,2.22161
63.0,64.0,0.67892
63.0,64.0,0.79699
63.0,64.0,1.189
63.0,64.0,0.13364
63.0,64.0,0.39665
63.0,64.0,0.5152
63.0,64.0,0.53498
63.0,65.0,1.06626
63.0,64.0,0.72474
63.0,64.0,0.406
63.0,64.0,0.24134
63.0,64.0,0.3811
63.0,65.0,0.208
63.0,67.0,0.934
63.0,64.0,0.87134
63.0,64.0,0.29623
63.0,65.0,2.206
64.0,65.0,1.315
64.0,66.0,0.3307
64.0,68.0,1.15522
64.0,67.0,0.415
64.0,65.0,0.84382
64.0,66.0,0.72172
64.0,65.0,0.25
64.0,65.0,2.04
64.0,65.0,0.665
64.0,65.0,1.80272
64.0,66.0,0.48784
64.0,66.0,3.7092
64.0,64.0,0.308
64.0,65.0,0.6546
